,producto_,precio_,precio_rel,link,oferta
0,DIA EL CENCERRO queso semicurado cortado cu침a 250 gr,2.69,10.76/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1
1,DIA EL CENCERRO queso semicurado cu침a 300 gr,2.35,7.83/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1
2,MILKA chocolate con galleta tableta 300 gr,2.89,9.63/Kg.,https://www.dia.es/compra-online/despensa/cf?page=4&disp=,1
3,MILKA chocolate con leche tableta 270 gr,1.99,7.37/Kg.,https://www.dia.es/compra-online/despensa/cf?page=15&disp=,1
4,DANONE DANET natillas vainilla pack 4 unidades 120 gr,2.15,4.48/Kg.,https://www.dia.es/compra-online/despensa/cf?page=21&disp=,1
5,DANONE DANET natillas de chocolate pack 4 unidades 120 gr,2.15,4.48/Kg.,https://www.dia.es/compra-online/despensa/cf?page=21&disp=,1
6,MILKA chocolate relleno de caramelo y avellanas tableta 300 gr,2.99,9.97/Kg.,https://www.dia.es/compra-online/despensa/cf?page=24&disp=,1
7,DANONE copa chocolate 2 unidades x 110 gr,1.45,6.59/Kg.,https://www.dia.es/compra-online/despensa/cf?page=39&disp=,1
8,DANONE OIKOS yogur griego natural pack 4 unidades 110 gr,2.25,5.11/Kg.,https://www.dia.es/compra-online/despensa/cf?page=39&disp=,1
9,DANONE OIKOS yogur griego natural azucarado pack 4 unidades 110 gr,2.25,5.11/Kg.,https://www.dia.es/compra-online/despensa/cf?page=39&disp=,1
10,DANONE flan de vainilla pack 4 unidades 100 g,1.65,4.13/Kg.,https://www.dia.es/compra-online/despensa/cf?page=43&disp=,1
11,FERRERO rocher bombones caja 375 gr ,8.99,23.97/Kg.,https://www.dia.es/compra-online/despensa/cf?page=44&disp=,1
12,MILKA chocolate con avellanas tableta 270 gr,3.09,11.44/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1
13,OREO galletas ba침adas en chocolate blanco caja 6 uds 246 gr ,2.39,9.72/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1
14,RAFFAELLO bombones caja 150 gr,3.59,23.93/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1
15,DANONE OIKOS yogur griego con caramelo pack 2 unidades 110 gr,1.45,6.59/Kg.,https://www.dia.es/compra-online/despensa/cf?page=56&disp=,1
16,DANONE arroz con leche pack 2 unidades 130 gr ,1.35,5.19/Kg.,https://www.dia.es/compra-online/despensa/cf?page=57&disp=,1
17,DANONE flan de queso pack 4 unidades 100 gr ,2.39,5.98/Kg.,https://www.dia.es/compra-online/despensa/cf?page=57&disp=,1
18,MON CHERI bombones de chocolate con cereza caja 157 gr,4.29,27.24/Kg.,https://www.dia.es/compra-online/despensa/cf?page=61&disp=,1
19,TWIX mini barritas rellenas de caramelo con chocolate con leche bolsa 130 gr ,1.59,12.23/Kg.,https://www.dia.es/compra-online/despensa/cf?page=65&disp=,1
20,SNICKERS Mini barritas rellenas de caramelo con cacahuetes bolsa 144 gr ,1.59,11.04/Kg.,https://www.dia.es/compra-online/despensa/cf?page=65&disp=,1
21,MILKA chocolate relleno de caramelo y cacahuetes tableta 276 gr ,3.09,11.20/Kg.,https://www.dia.es/compra-online/despensa/cf?page=65&disp=,1
22,MARS mini chocolatinas bolsa 130 gr ,1.59,12.23/Kg.,https://www.dia.es/compra-online/despensa/cf?page=67&disp=,1
23,DANONE OIKOS yogur griego tarta de ar치ndanos pack 2 unidades 110 gr ,1.45,6.59/Kg.,https://www.dia.es/compra-online/despensa/cf?page=72&disp=,1
24,DANONE OIKOS yogur griego stracciatella pack 4 unidades 110 gr,2.45,5.57/Kg.,https://www.dia.es/compra-online/despensa/cf?page=80&disp=,1
25,MILKA chocolate con leche relleno de oreo tableta 300 gr,2.89,9.63/Kg.,https://www.dia.es/compra-online/despensa/cf?page=93&disp=,1
