,producto,precio,cantidad,medida,cantidad_
0,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
1,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
2,Tomate frito Solis sin gluten y sin lactosa pack 2 tarros de 460 g.,1.93,0.919,kg,0.919
3,Leche desnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
4,Yogur griego con stracciatella Danone Oikos sin gluten pack de 4 unidades de 110 g.,2.12,0.44,kg,0.44
5,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
6,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
7,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
8,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
9,Caldo natural de pollo Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,6.19,2.003,L,2.003
10,Pizza de jamon y queso fina y crujiente Forno Di Pietra Buitoni 350 g.,3.19,0.35,kg,0.35
11,Huevos M Carrefour 30 ud.,3.25,2.5,ud,2.5
12,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
13,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
14,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
15,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
16,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
17,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
18,Conos de maiz Lay's 3D's 100 g.,1.43,0.1,kg,0.1
19,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
20,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
21,Ketchup Hellmann's envase 430 g.,1.53,0.43,L,0.43
22,Copa de chocolate con nata Danone La Copa pack de 2 unidades de 110 g.,1.15,0.22,kg,0.22
23,Arroz integral Sos 1 kg.,1.6,1.0,kg,1.0
24,Mayonesa Ligeresa sin lactosa tarro 650 ml.,2.7,0.651,kg,0.651
25,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
26,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
27,Piccolinis capricciosa Buitoni 270 g.,2.85,0.27,kg,0.27
28,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
29,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
30,Calamares en salsa americana Calvo sin gluten y sin lactosapack de 3 unidades de 48 g.,2.09,0.144,kg,0.144
31,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
32,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
33,Galletas Mini The Simpson Siro 275 g.,1.79,0.275,kg,0.275
34,Figuritas de mazapan Carrefour Sensation 300 g.,2.5,0.3,kg,0.3
35,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
36,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
37,Mantequilla facil de untar President 250 g.,3.15,0.25,kg,0.25
38,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
39,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
40,Arroz bomba Sos 1 kg.,3.75,1.0,kg,1.0
41,Mejillones de las rias gallegas en escabeche Calvo sin gluten y sin lactosa 69 g.,2.65,0.069,kg,0.069
42,Arroz con leche Danone sin gluten pack de 2 unidades de 130 g.,1.14,0.26,kg,0.26
43,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
44,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
45,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
46,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
47,Guisantes tiernos y muy finos sin azucares anadidos Bonduelle pack de 3 unidades de 140 g.,2.55,0.42,kg,0.42
48,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
49,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
50,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
51,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
52,Galletas Maria sin azucar Zero Gullon 400 g.,1.8,0.4,kg,0.4
53,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
54,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
55,Patatas fritas sal marina y trufa negra gourmet Lay's 150 g.,2.15,0.15,kg,0.15
56,Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
57,Crema de Alicia de calabaza. zanahoria y guisantes Knorr 500 ml.,1.87,0.5,L,0.5
58,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
59,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
60,Galletas rellena con crema de cacao Nocilla 120 g.,1.9,0.12,kg,0.12
61,Pannini de jamon y queso Dr. Oetker 250 g.,2.69,0.25,kg,0.25
62,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
63,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
64,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
65,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
66,Berberechos al natural Cabo de Penas 63 g.,3.79,0.063,kg,0.063
67,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
68,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
69,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
70,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
71,Maiz Bonduelle pack de 6x140 g.,4.65,0.839,kg,0.839
72,Caldo natural de puchero Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,6.19,2.003,L,2.003
73,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
74,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
75,Turron blando El Almendro sin gluten 250 g.,3.95,0.25,kg,0.25
76,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
77,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
78,Mejillones de las rias gallegas en escabeche Calvo sin gluten y sin lactosa pack de 3 unidades de 69 g.,4.29,0.207,kg,0.207
79,Gyoza de carne al vapor Ta-Tung 170 g.,2.75,0.17,kg,0.17
80,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
81,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
82,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
83,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
84,Galletas rellenas con crema de cacao Nocilla sin aceite de palma 160 g.,2.29,0.16,kg,0.16
85,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
86,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
87,Turron duro El Almendro sin gluten 250 g.,3.95,0.25,kg,0.25
88,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
89,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
90,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
91,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
92,Cereales integrales con chocolate y caramelo Lion Nestle 675 g.,3.95,0.675,kg,0.675
93,Salsa barbacoa sin azucar anadido Cero Prima sin gluten 325 g.,1.63,0.325,kg,0.325
94,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
95,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
96,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
97,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
98,Leche semidesnatada Circulo de Calidad Carrefour brik 1 l.,0.69,1.0,L,1.0
99,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
100,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
101,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
102,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
103,Cereales integrales Golden Grahams Nestle 420 g.,2.69,0.42,kg,0.42
104,Tomates secos con aceite de oliva y girasol Carrefour 120 g.,2.49,0.12,kg,0.12
105,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
106,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
107,Ketchup Prima envase 600 g.,1.99,0.599,kg,0.599
108,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
109,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
110,Bombones surtidos de chocolate Nestle Caja Roja 800 g.,12.99,0.8,kg,0.8
111,Ajo en polvo Carmencita sin gluten 60 g.,1.74,0.06,kg,0.06
112,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
113,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
114,Mostaza a la antigua Maille tarro 210 g.,2.39,0.21,kg,0.21
115,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
116,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
117,Sardinillas en aceite de oliva Albo 82 g.,2.09,0.082,kg,0.082
118,Tortellini de ricotta y espinacas Buitoni 276 g.,2.45,0.276,kg,0.276
119,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
120,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
121,Sopa Thai de fideos. setas y coco Knorr 69 g.,1.48,0.069,kg,0.069
122,Surtido de pastas artesanas Reglero 400 g.,3.1,0.4,kg,0.4
123,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
124,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
125,Ketchup cero Prima sin gluten envase 570 g.,2.09,0.569,kg,0.569
126,Chocolate negro 85% Lindt Excellence pack de 2 tabletas de 100 g.,4.65,0.2,kg,0.2
127,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
128,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
129,Leche semidesnatada Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
130,Leche entera Central Lechera Asturiana brik 1 l.,0.79,1.0,L,1.0
131,Jamoncitos de pollo Carrefour 1 kg aprox,3.49,1.0,kg,1.0
132,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
133,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
134,Mandarina malla de2 kg,1.98,2.0,kg,2.0
136,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
137,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
138,Pechuga de pavo fileteada Carrefour 600 g aprox,4.11,0.6,kg,0.6
139,Pina golden ripe 2 Kg aprox ,1.58,2.0,kg,2.0
140,Pera conferencia Carrefour 1.5 Kg,1.65,1.5,kg,1.5
141,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
142,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
144,Salmon ahumado noruego Carrefour pack de 2 unidades de 180 g.,8.99,0.36,kg,0.36
145,Jamon cocido al vapor Campofrio Finissimas sin gluten y sin lactosa 115 g.,1.78,0.115,kg,0.115
146,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
147,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
148,Salmon ahumado noruego Carrefour 200 g.,4.79,0.2,kg,0.2
149,Kiwi nacional 750 g,1.35,0.75,kg,0.75
150,Pan de molde rebanada estilo artesano Bimbo 600 g.,2.19,0.6,kg,0.6
151,Pechuga de pollo Carrefour 1.2 kg aprox,5.87,1.2,kg,1.2
152,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
153,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
154,Chuleta de aguja de cerdo Carrefour 1 kg aprox,3.49,1.0,kg,1.0
155,Tomate azul a granel 500 Kg aprox,1.49,0.498,kg,0.498
156,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
157,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
158,Tostaditas con arandanos Bimbo 90 g.,1.68,0.1,kg,0.1
159,Masa hojaldre rectangular Buitoni sin lactosa 230 g.,1.99,0.23,kg,0.23
160,Panettone de chocolate Carrefour El Mercado 900 g,4.5,0.9,kg,0.9
161,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
162,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
163,Naranjas de mesa Carrefour El Mercado saco de 6 kg,3.9,6.0,kg,6.0
164,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
165,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
166,Cebolla ecologica Carrefour Bio 1 kg,1.85,1.0,kg,1.0
167,Jamon de cerdo troceado Carrefour 500 g aprox,1.99,0.499,kg,0.499
168,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
169,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
170,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
171,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
172,Pan de molde con grano entero 12 cereales Bimbo-Oreweat 680 g.,2.59,0.59,kg,0.59
173,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
174,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
175,Filete 1ÂªA de vacuno 500 g aprox,4.24,0.499,kg,0.499
176,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
177,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
178,Picada de vacuno ecologico Carrefour Bio 400 g,3.49,0.4,kg,0.4
179,Alas de pollo Carrefour 1.4 kg aprox,5.03,1.401,kg,1.401
180,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
181,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
182,Panettone de frutas clasico Carrefour El Mercado 900 g,4.5,0.9,kg,0.9
184,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
185,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
186,Jamon cocido braseado Campofrio Finissimas sin gluten 115 g.,1.78,0.115,kg,0.115
187,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
188,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
189,Salmon ahumado noruego Royal 100 g.,4.59,0.1,kg,0.1
190,Paleta de cebo iberica 50% raza iberica en lonchas Carrefour 100 g.,3.99,0.1,kg,0.1
191,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
192,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
193,Gambon extra grande crudo Carrefour 700 g.,8.15,0.7,kg,0.7
194,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
195,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
196,Solomillo de cerdo al romero El Pozo Extratiernos 500 g aprox,4.47,0.499,kg,0.499
197,Chuleton de vacuno 1 Kg aproxTipo de corte:Filete grueso 2 cm,11.89,1.0,kg,1.0
198,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
199,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
200,Queso rallado mozzarella Arla 150 g.,2.39,0.15,kg,0.15
201,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
202,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
203,Langostino cocido extra Pescanova 800 g.,13.99,0.8,kg,0.8
204,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
205,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
206,Queso tierno en lonchas El Ventero 200 g.,3.2,0.2,kg,0.2
207,Masa para empanada Buitoni sin lactosa 280 g.,2.5,0.28,kg,0.28
208,Jamon de cebo iberico 50% raza iberica El Lujo sin lactosa pieza de 7 kg,105.0,7.5,kg,7.5
209,Berlinas bombon Donuts 8 ud.,3.59,0.44,kg,0.44
210,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
211,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
212,Lomo de cerdo al ajillo fileteado Carrefour 650 g aprox,4.22,0.65,kg,0.65
213,Langostino extra crudo Pescanova 800 g.,13.99,0.8,kg,0.8
214,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
215,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
216,Patata lavada Carrefour 5 Kg,2.95,5.0,kg,5.0
217,Brocoli Carrefour 500g,0.79,0.5,kg,0.5
218,Queso rallado Grana Padano Galbani 60 g.,1.56,0.06,kg,0.06
219,Finas del mar con gambas al ajillo 175 g,1.19,0.175,kg,0.175
220,Salmon noruego Carrefour 100 g. ,2.95,0.1,kg,0.1
221,Paleta de cebo iberica curada 50% raza iberica semideshuesada Serie Oro ElPozo pieza 4.5 kg aprox,49.0,4.0,kg,4.0
223,Solomillo de salmon ahumado noruego carrefour Seleccion 150 g.,5.95,0.15,kg,0.15
224,Cerveza Cruzcampo Pilsen botella 1 l.,1.0,1.0,L,1.0
225,Agua mineral con gas Perrier natural 50 cl.,0.84,0.5,L,0.5
226,Cerveza Alhambra reserva pack de 6 botellas de 33 cl.+ copa ,8.29,1.979,L,1.979
227,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
228,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
229,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
230,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
231,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
232,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
233,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
234,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
235,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
236,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
237,Monster Energy ultra red zero azucar bebida energetica lata 50 cl.,1.15,0.5,L,0.5
238,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
239,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
240,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
241,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
242,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
243,Bach Extrisimo Blanco 2020,3.7,1.0,ud,1.0
244,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
245,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
246,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
247,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
248,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
249,Cerveza rubia Amstel 100% malta botella 1 l.,1.0,1.0,L,1.0
250,Cerveza Budweiser Lager pack de 10 latas de 33 cl.,5.35,3.302,L,3.302
251,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
252,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
253,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
254,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
255,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
256,Monster Energy Ultra Fiesta Mango bebida energetica lata 50 cl.,1.15,0.5,L,0.5
257,Chuvia Godello Blanco 2020,3.85,1.0,ud,1.0
258,Estuche 2 Bot. Juve & Camps Reserva De La FamiliaCava 2017,29.9,1.0,ud,1.0
259,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
260,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
261,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
262,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
263,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
264,Marques De Riscal Verdejo Blanco 2021,7.4,1.0,ud,1.0
265,Red Bull bebida energetica pack de 8 latas de 25 cl.,7.29,2.003,L,2.003
266,Monster Energy Ultra Paradise bebida energetica lata 50 cl.,1.15,0.5,L,0.5
267,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
268,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
269,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
270,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
271,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
272,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
273,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
274,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
275,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
276,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
277,Celeste Tinto Roble 2020,7.99,1.0,ud,1.0
278,Cerveza rubia Cruzcampo Pilsen lata 50 cl.,0.8,0.5,L,0.5
279,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
280,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
281,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
282,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
283,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
284,Cerveza Desperados sabor tequila lata 50 cl.,1.54,0.5,L,0.5
285,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
286,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
287,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
288,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
289,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
290,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
291,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
292,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
293,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
294,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
295,Cardhu Whisky,23.49,0.7,L,0.7
296,Agua mineral con gas Perrier sabor lima 50 cl.,0.84,0.5,L,0.5
297,Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.,11.49,3.962,L,3.962
298,Cerveza Mahou Clasica pack de 28 latas de 33 cl.,11.95,9.264,L,9.264
299,Coca Cola zero azucar zero cafeina pack 4 botellas 2 l.,6.24,8.0,L,8.0
300,Coca Cola pack 4 botellas 2 l.,6.24,8.0,L,8.0
301,Agua mineral Font Vella 50 cl.,0.53,0.5,L,0.5
302,Vino D.O. Penedes blanco semidulce 3 Reinos 75 cl.,2.15,1.0,ud,1.0
