,Unnamed: 0,producto_,precio_,precio_rel,link,oferta,Q,precio_medida,medida,precio_medida1,precio_medida2,Q_medida
0,0,DIA DULCE NOEL surtido de mazapan caja 300 gr ,2.09,6.97/Kg.,https://www.dia.es/compra-online/dulces-de-navidad/cf,1, 300 gr ,6.97,Kg.,6.97,6.97,0.3
1,1,DIA DULCE NOEL seleccion de especialidades bandeja 700 gr ,3.59,5.13/Kg.,https://www.dia.es/compra-online/dulces-de-navidad/cf,1, 700 gr ,5.13,Kg.,5.13,5.13,0.7
2,2,DIA AL PUNTO canelones de marisco bandeja 560 gr,1.99,3.55/Kg.,https://www.dia.es/compra-online/platos-preparados/cf?page=2&disp=,1, 560 gr,3.55,Kg.,3.55,3.55,0.561
3,3,DIA EL CENCERRO queso curado cuna 300 gr,1.99,6.63/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1, 300 gr,6.63,Kg.,6.63,6.63,0.3
4,4,DIA EL CENCERRO queso curado cortado cuna 250 gr,2.21,8.84/Kg.,https://www.dia.es/compra-online/frescos/cf?page=17&disp=,1, 250 gr,8.84,Kg.,8.84,8.84,0.25
5,5,LA LECHERA leche condensada lata 370 gr,1.44,3.89/Kg.,https://www.dia.es/compra-online/despensa/cf?page=46&disp=,1, 370 gr,3.89,Kg.,3.89,3.89,0.37
6,6,VOLL-DAMM cerveza doble malta lata 33 cl,0.72,2.18/l.,https://www.dia.es/compra-online/bebidas/cf?page=2&disp=,1, 33 cl,2.18,l.,2.18,2.18,0.33
7,7,VOLL-DAMM cerveza doble malta pack 6 botellas 25 cl ,3.95,2.63/l.,https://www.dia.es/compra-online/bebidas/cf?page=12&disp=,1, 6 botellas 25 cl ,2.63,l.,2.63,2.63,1.502
8,8,BERONIA vino tinto crianza DO Rioja botella 75 cl,7.02,9.36/l.,https://www.dia.es/compra-online/bodega/cf?page=1&disp=,1, 75 cl,9.36,l.,9.36,9.36,0.75
9,9,BLUME vino blanco DO Rueda botella 75 cl,3.59,4.79/l.,https://www.dia.es/compra-online/bodega/cf?page=1&disp=,1, 75 cl,4.79,l.,4.79,4.79,0.749
10,10,VIÃA ALBALI vino tinto gran reserva DO Valdepenas botella 75 cl,3.99,5.32/l.,https://www.dia.es/compra-online/bodega/cf?page=2&disp=,1, 75 cl,5.32,l.,5.32,5.32,0.75
11,11,BLUME vino blanco joven DO Rueda botella 75 cl,2.99,3.99/l.,https://www.dia.es/compra-online/bodega/cf?page=2&disp=,1, 75 cl,3.99,l.,3.99,3.99,0.749
12,12,CASTILLO DE ALBAI vino tinto DO Rioja botella 75 cl,2.69,3.59/l.,https://www.dia.es/compra-online/bodega/cf?page=3&disp=,1, 75 cl,3.59,l.,3.59,3.59,0.749
13,13,BOMBAY Original ginebra london dry botella 70 cl,11.99,17.13/l.,https://www.dia.es/compra-online/bodega/cf?page=3&disp=,1, 70 cl,17.13,l.,17.13,17.13,0.7
14,14,FEDERICO PATERNINA vino tinto 12 meses banda azul DO Rioja botella 75 cl,4.39,5.85/l.,https://www.dia.es/compra-online/bodega/cf?page=4&disp=,1, 12 meses banda azul DO Rioja botella 75 cl,5.85,l.,5.85,5.85,0.75
15,15,ALTOS DE TAMARON vino tinto reserva DO Ribera de Duero botella 75 cl,7.99,10.65/l.,https://www.dia.es/compra-online/bodega/cf?page=4&disp=,1, 75 cl,10.65,l.,10.65,10.65,0.75
16,16,PEÃASCAL vino rosado de aguja botella 75 cl ,2.9,3.87/l.,https://www.dia.es/compra-online/bodega/cf?page=5&disp=,1, 75 cl ,3.87,l.,3.87,3.87,0.749
17,17,CARDHU whisky 12 anos botella 70 cl,23.49,33.56/l.,https://www.dia.es/compra-online/bodega/cf?page=5&disp=,1, 12 anos botella 70 cl,33.56,l.,33.56,33.56,0.7
18,18,MAYOR DE CASTILLA vino tinto botella 75 cl ,2.13,2.84/l.,https://www.dia.es/compra-online/bodega/cf?page=7&disp=,1, 75 cl ,2.84,l.,2.84,2.84,0.75
19,19,BEEFEATER bebida espirituosa light 20Âº botella 70 cl,12.0,17.14/l.,https://www.dia.es/compra-online/bodega/cf?page=10&disp=,1, 70 cl,17.14,l.,17.14,17.14,0.7
20,20,LOS MOLINOS vino blanco verdejo DO Valdepenas botella 75 cl,1.69,2.25/l.,https://www.dia.es/compra-online/bodega/cf,1, 75 cl,2.25,l.,2.25,2.25,0.751
21,21,LOS MOLINOS vino tinto DO Valdepenas botella 75 cl,1.69,2.25/l.,https://www.dia.es/compra-online/bodega/cf,1, 75 cl,2.25,l.,2.25,2.25,0.751
22,22,DIA AL PUNTO croquetas de marisco bolsa 350 gr,1.29,3.69/Kg.,https://www.dia.es/compra-online/congelados/cf?page=7&disp=,1, 350 gr,3.69,Kg.,3.69,3.69,0.35
23,23,ELVIVE crema suavizante color vive cabello tenido frasco 250 ml,2.39,9.56/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=3&disp=,1, 250 ml,9.56,l.,9.56,9.56,0.25
24,24,ELVIVE mascarilla capilar total repair 5 tarro 300 ml,3.83,12.77/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=5&disp=,1, 5 tarro 300 ml,12.77,l.,12.77,12.77,0.3
25,25,ORIGINAL REMEDIES mascarilla tesoros de miel tarro 300 ml,3.19,10.63/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=27&disp=,1, 300 ml,10.63,l.,10.63,10.63,0.3
26,26,ORIGINAL REMEDIES aceite oliva en crema sin aclarado cabello reseco 200 ml,2.15,10.75/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=31&disp=,1, 200 ml,10.75,l.,10.75,10.75,0.2
27,27,ORIGINAL REMEDIES mascarilla delicatesse todo tipo de cabello tarro 300 ml,3.19,10.63/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=32&disp=,1, 300 ml,10.63,l.,10.63,10.63,0.3
28,28,FRUCTIS mascarilla hidra rizos cabello rizo u ondulado tarro 300 ml,3.75,12.50/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=33&disp=,1, 300 ml,12.50,l.,12.50,12.5,0.3
29,29,FRUCTIS mascarilla adios danos repara y fortifica tarro 300 ml,3.75,12.50/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=33&disp=,1, 300 ml,12.50,l.,12.50,12.5,0.3
30,30,ORIGINAL REMEDIES acondicionador tesoros de miel bote 250 ml,2.95,11.80/l.,https://www.dia.es/compra-online/cuidado-personal/cf?page=53&disp=,1, 250 ml,11.80,l.,11.80,11.8,0.25
